"time","data"
"01:00:00","346827.35"
"01:00:11","347603.97"
"01:00:22","347211.64"
"01:00:33","347505.42"
"01:00:44","347691.51"
"01:00:55","347636.29"
"01:01:06","347715.49"
"01:01:17","347362.95"
"01:01:28","347031.09"
"01:01:39","346252.29"
"01:01:50","346593.48"
"01:02:01","346745.02"
"01:02:12","346305.61"
"01:02:23","346719.18"
"01:02:34","346642.26"
"01:02:45","346474.98"
"01:02:56","346688.41"
"01:03:07","346728.12"
"01:03:18","346577.52"
"01:03:29","347514.77"
"01:03:40","347102.66"
"01:03:51","347172.57"
"01:04:02","347688.52"
"01:04:13","348033.99"
"01:04:24","348639.56"
"01:04:35","347559.35"
"01:04:46","347045.66"
"01:04:57","347140.65"
"01:05:08","346233.86"
"01:05:19","347414.15"
"01:05:30","346660.73"
"01:05:41","346675.84"
"01:05:52","347190.94"
"01:06:03","347461.69"
"01:06:14","348384.23"
"01:06:25","351410.87"
"01:06:36","353190.44"
"01:06:47","352529.31"
"01:06:58","352232.94"
"01:07:09","351788.85"
"01:07:20","351271.13"
"01:07:31","350815.47"
"01:07:42","351038.26"
"01:07:53","351749.09"
"01:08:04","351913.25"
"01:08:15","351482.51"
"01:08:26","351565.24"
"01:08:37","350963.46"
"01:08:48","350257.82"
"01:08:59","350557.57"
"01:09:10","350050.57"
"01:09:21","349677.85"
"01:09:32","349143.70"
"01:09:43","350122.55"
"01:09:54","349749.64"
"01:10:05","348849.87"
"01:10:16","348097.17"
"01:10:27","347922.82"
"01:10:38","347948.54"
"01:10:49","347609.05"
"01:11:00","347134.55"
"01:11:11","346710.29"
"01:11:22","347070.69"
"01:11:33","346654.39"
"01:11:44","347134.71"
"01:11:55","347227.58"
"01:12:06","347916.14"
"01:12:17","347832.42"
"01:12:28","347809.33"
"01:12:39","348436.08"
"01:12:50","348317.35"
"01:13:01","348202.97"
"01:13:12","348359.02"
"01:13:23","347874.93"
"01:13:34","348531.81"
"01:13:45","348312.07"
"01:13:56","348577.76"
"01:14:07","349318.83"
"01:14:18","348585.33"
"01:14:29","348133.69"
"01:14:40","347588.66"
"01:14:51","348118.98"
"01:15:02","349391.92"
"01:15:13","350097.11"
"01:15:24","350297.70"
"01:15:35","350564.27"
"01:15:46","350323.86"
"01:15:57","350044.24"
"01:16:08","350097.43"
"01:16:19","350528.21"
"01:16:30","350302.07"
"01:16:41","350666.59"
"01:16:52","352178.86"
"01:17:03","351285.16"
"01:17:14","350197.61"
"01:17:25","348877.43"
"01:17:36","348201.43"
"01:17:47","349283.30"
"01:17:58","350183.03"
"01:18:09","351473.87"
"01:18:20","352236.91"
"01:18:31","352317.53"
"01:18:42","353165.85"
"01:18:53","354931.94"
"01:19:04","354996.03"
"01:19:15","355825.10"
"01:19:26","357227.06"
"01:19:37","358914.98"
"01:19:48","358705.68"
"01:19:59","359476.18"
"01:20:10","359613.27"
"01:20:21","358091.89"
"01:20:32","357882.49"
"01:20:43","355518.06"
"01:20:54","355373.41"
"01:21:05","353663.18"
"01:21:16","352215.67"
"01:21:27","351305.75"
"01:21:38","350764.80"
"01:21:49","350571.21"
"01:22:00","350071.07"
"01:22:11","349642.82"
"01:22:22","349234.24"
"01:22:33","348619.99"
"01:22:44","348739.99"
"01:22:55","348261.52"
"01:23:06","348187.56"
"01:23:17","348420.20"
"01:23:28","347638.05"
"01:23:39","347290.26"
"01:23:50","347218.19"
"01:24:01","347051.29"
"01:24:12","347204.72"
"01:24:23","346818.05"
"01:24:34","346648.74"
"01:24:45","346276.62"
"01:24:56","345861.76"
"01:25:07","345888.27"
"01:25:18","345859.17"
"01:25:29","345424.70"
"01:25:40","346358.61"
"01:25:51","346057.94"
"01:26:02","345924.58"
"01:26:13","346234.77"
"01:26:24","346482.04"
"01:26:35","345885.67"
"01:26:46","345578.33"
"01:26:57","346820.92"
"01:27:08","346398.95"
"01:27:19","346172.83"
"01:27:30","346940.31"
"01:27:41","347030.11"
"01:27:52","347144.15"
"01:28:03","347210.76"
"01:28:14","347390.48"
"01:28:25","346948.93"
"01:28:36","345790.10"
"01:28:47","346133.78"
"01:28:58","346044.37"
"01:29:09","346848.90"
"01:29:20","346932.08"
"01:29:31","347114.62"
"01:29:42","347423.74"
"01:29:53","347281.79"
