"time","data"
"01:00:00","347860.18"
"01:00:11","347989.92"
"01:00:22","347891.70"
"01:00:33","347930.36"
"01:00:44","347955.05"
"01:00:55","347933.70"
"01:01:06","347940.01"
"01:01:17","347856.16"
"01:01:28","347767.07"
"01:01:39","347573.19"
"01:01:50","347598.97"
"01:02:01","347595.34"
"01:02:12","347470.28"
"01:02:23","347517.24"
"01:02:34","347471.97"
"01:02:45","347406.15"
"01:02:56","347418.50"
"01:03:07","347400.75"
"01:03:18","347344.16"
"01:03:29","347518.00"
"01:03:40","347429.31"
"01:03:51","347432.58"
"01:04:02","347534.11"
"01:04:13","347613.92"
"01:04:24","347759.20"
"01:04:35","347558.72"
"01:04:46","347448.34"
"01:04:57","347454.26"
"01:05:08","347248.07"
"01:05:19","347465.24"
"01:05:30","347301.47"
"01:05:41","347281.64"
"01:05:52","347370.54"
"01:06:03","347422.27"
"01:06:14","347621.97"
"01:06:25","348299.93"
"01:06:36","348794.41"
"01:06:47","348810.58"
"01:06:58","348880.77"
"01:07:09","348906.01"
"01:07:20","348898.52"
"01:07:31","348886.01"
"01:07:42","349003.36"
"01:07:53","349229.40"
"01:08:04","349355.40"
"01:08:15","349354.91"
"01:08:26","349449.29"
"01:08:37","349396.13"
"01:08:48","349300.89"
"01:08:59","349399.77"
"01:09:10","349332.48"
"01:09:21","349278.23"
"01:09:32","349177.81"
"01:09:43","349386.97"
"01:09:54","349333.30"
"01:10:05","349154.90"
"01:10:16","348982.14"
"01:10:27","348912.81"
"01:10:38","348882.70"
"01:10:49","348776.10"
"01:11:00","348632.10"
"01:11:11","348487.00"
"01:11:22","348500.49"
"01:11:33","348359.54"
"01:11:44","348401.38"
"01:11:55","348375.74"
"01:12:06","348482.40"
"01:12:17","348444.02"
"01:12:28","348417.03"
"01:12:39","348529.86"
"01:12:50","348500.97"
"01:13:01","348469.77"
"01:13:12","348493.71"
"01:13:23","348384.81"
"01:13:34","348507.64"
"01:13:45","348461.28"
"01:13:56","348513.01"
"01:14:07","348674.62"
"01:14:18","348540.16"
"01:14:29","348444.72"
"01:14:40","348316.38"
"01:14:51","348404.16"
"01:15:02","348667.48"
"01:15:13","348845.13"
"01:15:24","348933.32"
"01:15:35","349039.73"
"01:15:46","349042.95"
"01:15:57","349028.97"
"01:16:08","349076.95"
"01:16:19","349206.28"
"01:16:30","349205.27"
"01:16:41","349323.10"
"01:16:52","349696.50"
"01:17:03","349593.79"
"01:17:14","349420.94"
"01:17:25","349165.15"
"01:17:36","349009.50"
"01:17:47","349212.94"
"01:17:58","349408.85"
"01:18:09","349714.16"
"01:18:20","349941.51"
"01:18:31","350041.48"
"01:18:42","350305.75"
"01:18:53","350788.31"
"01:19:04","350951.26"
"01:19:15","351275.08"
"01:19:26","351740.21"
"01:19:37","352300.53"
"01:19:48","352493.69"
"01:19:59","352882.94"
"01:20:10","353149.77"
"01:20:21","353055.49"
"01:20:32","353191.81"
"01:20:43","352852.50"
"01:20:54","352917.38"
"01:21:05","352638.22"
"01:21:16","352364.01"
"01:21:27","352163.10"
"01:21:38","352015.97"
"01:21:49","351929.32"
"01:22:00","351772.93"
"01:22:11","351619.61"
"01:22:22","351460.63"
"01:22:33","351248.45"
"01:22:44","351179.61"
"01:22:55","350988.94"
"01:23:06","350874.85"
"01:23:17","350828.10"
"01:23:28","350573.31"
"01:23:39","350392.88"
"01:23:50","350265.69"
"01:24:01","350120.10"
"01:24:12","350042.59"
"01:24:23","349857.31"
"01:24:34","349711.50"
"01:24:45","349521.25"
"01:24:56","349315.27"
"01:25:07","349196.64"
"01:25:18","349071.27"
"01:25:29","348862.25"
"01:25:40","348939.21"
"01:25:51","348781.68"
"01:26:02","348654.96"
"01:26:13","348623.32"
"01:26:24","348590.47"
"01:26:35","348386.39"
"01:26:46","348230.30"
"01:26:57","348401.89"
"01:27:08","348254.28"
"01:27:19","348138.88"
"01:27:30","348233.05"
"01:27:41","348205.81"
"01:27:52","348187.99"
"01:28:03","348164.73"
"01:28:14","348169.01"
"01:28:25","348046.08"
"01:28:36","347757.51"
"01:28:47","347760.55"
"01:28:58","347682.76"
"01:29:09","347796.69"
"01:29:20","347780.45"
"01:29:31","347789.14"
"01:29:42","347831.29"
"01:29:53","347786.11"
