"time","data"
"05:30:06","142708.98"
"05:30:17","142394.38"
"05:30:28","142506.19"
"05:30:39","142650.43"
"05:30:50","142576.80"
"05:31:01","142624.24"
"05:31:12","142707.59"
"05:31:23","142739.52"
"05:31:34","142350.37"
"05:31:45","142667.81"
"05:31:56","142634.22"
"05:32:07","142735.08"
"05:32:18","142754.18"
"05:32:29","142530.69"
"05:32:40","142690.02"
"05:32:51","142694.73"
"05:33:02","142687.70"
"05:33:13","142579.51"
"05:33:24","142832.99"
"05:33:35","142638.33"
"05:33:46","142786.93"
"05:33:57","142801.00"
"05:34:08","142818.19"
"05:34:19","142510.88"
"05:34:30","142311.70"
"05:34:41","142606.39"
"05:34:52","142498.11"
"05:35:03","142606.24"
"05:35:14","142478.80"
"05:35:25","142673.32"
"05:35:36","142536.47"
"05:35:47","142501.12"
"05:35:58","142457.99"
"05:36:09","142594.77"
"05:36:20","142326.72"
"05:36:31","142445.29"
"05:36:42","142427.95"
"05:36:53","142436.37"
"05:37:04","142363.88"
"05:37:15","142327.29"
"05:37:26","142272.16"
"05:37:37","142479.36"
"05:37:48","142414.29"
"05:37:59","142405.81"
"05:38:10","142287.27"
"05:38:21","142508.38"
"05:38:32","142393.68"
"05:38:43","142483.67"
"05:38:54","142792.49"
"05:39:05","142553.45"
"05:39:16","142719.93"
"05:39:27","142698.62"
"05:39:38","142561.19"
"05:39:49","142931.03"
"05:40:00","142868.88"
"05:40:11","143051.04"
"05:40:22","142962.39"
"05:40:33","142937.93"
"05:40:44","142810.67"
"05:40:55","142922.18"
"05:41:06","143121.91"
"05:41:17","142784.74"
"05:41:28","142770.85"
"05:41:39","142914.62"
"05:41:50","143118.36"
"05:42:01","142900.57"
"05:42:12","142908.39"
"05:42:23","142934.09"
"05:42:34","142707.88"
"05:42:45","142742.50"
"05:42:56","142668.98"
"05:43:07","142721.99"
"05:43:18","142740.54"
"05:43:29","142677.41"
"05:43:40","142800.28"
"05:43:51","142726.22"
"05:44:02","142863.76"
"05:44:13","142574.40"
"05:44:24","142531.79"
"05:44:35","142645.24"
"05:44:46","142693.09"
"05:44:57","142637.91"
"05:45:08","142701.61"
"05:45:19","142830.47"
"05:45:30","142678.26"
"05:45:41","142568.00"
"05:45:52","142716.50"
"05:46:03","142661.96"
"05:46:14","142702.45"
"05:46:25","142565.29"
"05:46:36","142785.51"
"05:46:47","143013.62"
"05:46:58","143224.53"
"05:47:09","143267.63"
"05:47:20","143157.32"
"05:47:31","143040.82"
"05:47:42","142943.83"
"05:47:53","143528.25"
"05:48:04","143688.59"
"05:48:15","143664.01"
"05:48:26","143670.04"
"05:48:37","143899.82"
"05:48:48","143860.87"
"05:48:59","143723.36"
"05:49:10","143721.28"
"05:49:21","144005.53"
"05:49:32","143873.03"
"05:49:43","143820.29"
"05:49:54","144060.54"
"05:50:05","144137.20"
"05:50:16","144056.66"
"05:50:27","143821.48"
"05:50:38","143887.93"
"05:50:49","144169.85"
"05:51:00","144073.78"
"05:51:11","143810.16"
"05:51:22","143755.16"
"05:51:33","143413.34"
"05:51:44","143239.33"
"05:51:55","143296.40"
"05:52:06","143268.07"
"05:52:17","143047.13"
"05:52:28","142902.48"
"05:52:39","142903.59"
"05:52:50","142704.41"
"05:53:01","142746.01"
"05:53:12","143182.66"
"05:53:23","143521.50"
"05:53:34","143417.08"
"05:53:45","143599.70"
"05:53:56","143680.46"
"05:54:07","143990.73"
"05:54:18","143863.46"
"05:54:29","143664.30"
"05:54:40","143895.05"
"05:54:51","143791.11"
"05:55:02","143935.74"
"05:55:13","143651.38"
"05:55:24","143618.41"
"05:55:35","143769.13"
"05:55:46","143741.11"
"05:55:57","143960.81"
"05:56:08","143951.85"
"05:56:19","144022.96"
"05:56:30","144027.33"
"05:56:41","143850.98"
"05:56:52","144016.65"
"05:57:03","144036.70"
"05:57:14","143937.36"
"05:57:25","143938.72"
"05:57:36","143986.44"
"05:57:47","143941.20"
"05:57:58","143897.14"
"05:58:09","143687.78"
"05:58:20","143763.83"
"05:58:31","144096.69"
"05:58:42","144060.39"
"05:58:53","144253.11"
"05:59:04","144282.90"
"05:59:15","144139.57"
"05:59:26","144000.15"
"05:59:37","144066.83"
"05:59:48","143847.31"
"05:59:59","143383.15"
